Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/13/2017,AQS,271377555,1,0,ug/m3 LC,.,Waseca Road,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.72938,-92.15998
1/19/2017,AQS,271377555,1,0.002,ug/m3 LC,.,Waseca Road,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.72938,-92.15998
1/25/2017,AQS,271377555,1,0.001,ug/m3 LC,.,Waseca Road,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.72938,-92.15998
1/31/2017,AQS,271377555,1,0.001,ug/m3 LC,.,Waseca Road,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.72938,-92.15998
2/6/2017,AQS,271377555,1,0.001,ug/m3 LC,.,Waseca Road,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.72938,-92.15998
2/12/2017,AQS,271377555,1,0,ug/m3 LC,.,Waseca Road,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.72938,-92.15998
2/18/2017,AQS,271377555,1,0.001,ug/m3 LC,.,Waseca Road,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.72938,-92.15998
2/24/2017,AQS,271377555,1,0.003,ug/m3 LC,.,Waseca Road,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.72938,-92.15998
3/2/2017,AQS,271377555,1,0.008,ug/m3 LC,.,Waseca Road,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.72938,-92.15998
3/8/2017,AQS,271377555,1,0.018,ug/m3 LC,.,Waseca Road,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.72938,-92.15998
3/14/2017,AQS,271377555,1,0.003,ug/m3 LC,.,Waseca Road,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.72938,-92.15998
